cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
c2be307a-a3d6-416d-9a35-983daf752f5b,2025-03-24 22:51:36.211819+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,228,"Prioritize radical emissions reduction, community adaptation, and resilience technologies while avoiding stagnation and pure economic growth."
42277e0f-d2b9-4419-ab2b-fb3870ae7b77,2025-03-24 22:51:43.200444+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,107,Prioritize resilience and radical emissions reduction while minimizing economic disruption and supporting community adaptation.
8e0d0ba1-559d-4551-9bad-5faa4e74ec83,2025-03-24 22:51:56.099735+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,109,"Strong support for emissions reduction, adaptation, and resilience, with minimal emphasis on economic growth or status quo."
3ceb4a59-a7d3-4f96-93e8-148ee5b6c44e,2025-03-24 22:52:03.246454+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,224,"Prioritize balanced, community-driven adaptation with moderate emissions reduction and proactive resilience planning."
9be5dbcb-f0f1-41d4-aac9-ab9b45e25ee1,2025-03-24 22:52:11.248091+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,226,"Prioritize adaptation, moderate emissions reduction, community actions, and technological resilience while avoiding stagnation."
da1a24b2-9745-4758-a8e5-80e2a89f3aa7,2025-03-24 22:52:19.271074+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,109,"Prioritize climate action, support moderate emissions reduction, and focus on adaptive community-based resilience strategies."
512c312e-e184-432f-ab03-08be39fc7025,2025-03-24 22:52:28.597443+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,224,"Prioritize radical emissions cuts, resilient technologies, and community adaptation while balancing economic considerations."
3ee1dc9d-2a7f-496a-bb2e-cd7dd22fbd30,2025-03-24 22:52:36.784039+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,108,"Prioritize resilience and moderate emissions reduction, with community-level adaptation and minimal economic disruption."
baca76f5-ed9d-4695-9da8-2ccbbd7357e3,2025-04-02 09:41:30.206782+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,226,"Prioritize community-level adaptation, moderate emissions reduction, and resilience-building technologies over status quo."
88b731cd-5714-45e6-8839-12fc491fc140,2025-04-02 09:41:36.698873+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,225,"Prioritize comprehensive adaptation, strong emissions reduction, and resilient technologies while avoiding economic-only approaches."
53edddcf-d1fa-4b6d-a6f1-10c8f044b19f,2025-04-02 09:41:42.688625+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,224,"Prioritize comprehensive adaptation, resilience, and radical emissions reduction while supporting community-level actions."
01bfd1cc-c0bf-404f-8580-f74c42afad96,2025-04-02 09:41:48.174814+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,105,"Prioritize moderate emissions reduction, community adaptation, emergency planning, and resilience technologies."
54ddde3f-b82b-44c8-843e-0b63f1d9ac92,2025-04-02 09:41:53.467978+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,224,"Prioritize resilience, community action, and radical emissions reduction while avoiding economic stagnation."
f46726b3-21de-4689-8629-adf4ea9e3e26,2025-04-02 09:41:59.888840+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,225,"Prioritize balanced adaptation with moderate emissions reduction, focusing on community-level resilience and technological innovation."
db4de193-eefe-4ad2-b008-62cda1cdfc3c,2025-04-02 09:42:06.274078+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,225,"Prioritize aggressive emissions reduction, community resilience, and adaptive technologies while minimizing economic disruption."
baefb876-e04c-44e9-a5b7-b4d66a026482,2025-04-02 09:42:12.525915+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,228,"Prioritize radical emissions reduction, community-based adaptation, and resilience technologies while minimizing economic-only approaches."
a98d17ce-3a8e-4c5e-804f-706dd161d6ce,2025-04-02 09:42:23.254691+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,224,"Prioritize resilient tech and radical emissions cuts, with balanced adaptation and community-level actions."
90dad4f9-2d73-4885-87b1-ff769742ec0f,2025-04-02 09:42:29.845433+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,108,"Prioritize moderate climate action, community resilience, and technological innovation while minimizing economic disruption."
4f93a36e-2167-46ac-94d6-6e4da7a80273,2025-04-02 09:42:35.325145+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,223,"Prioritize resilient, community-driven adaptation with strong emissions reduction and balanced economic considerations."
05a64ce2-12db-4828-b5b0-f32a0a618ffd,2025-04-02 09:42:41.853985+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,227,"Prioritize comprehensive adaptation, reject inaction, support moderate to radical emissions reduction with community-level resilience."
4a3d0c39-b644-40f2-838a-ba3657f5275b,2025-04-02 09:42:47.452448+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,110,"Prioritize strong climate action, adaptation, and resilience while balancing economic and community-level interventions."
84352a0d-6c36-4b52-8eef-054133b45bec,2025-04-02 09:42:52.861585+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,225,"Prioritize comprehensive resilience strategies with strong adaptation, emissions reduction, and community-level interventions."
2ffd7822-8a85-43b0-a3ed-2a8bbfc5570b,2025-04-02 09:42:59.620505+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,223,"Prioritize comprehensive climate adaptation with strong technological, community-based, and emission reduction strategies."
dde835ef-f467-43a1-8593-d80f4c340cec,2025-04-02 09:43:05.158031+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,109,"Prioritize radical emissions reduction, community resilience, and adaptive policies while minimizing economic-only approaches."
bc0eb500-8e04-4e9d-8601-79e9acae0394,2025-04-02 09:43:11.560231+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,109,"Prioritize moderate adaptation strategies, community actions, and resilience while avoiding stagnation and radical approaches."
f99a4fa9-2ab2-4a5c-956d-2bbdbee67fc8,2025-04-02 09:43:16.916704+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,223,Prioritize resilience and moderate emissions reduction while avoiding economic disruption and maintaining adaptability.
5af67a28-3247-4e81-8b0f-5a1a223263a8,2025-04-02 09:43:22.386193+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,105,"Prioritize adaptation, resilience, and community actions while pushing for significant emissions reduction."
ef897513-cedb-44a2-97d8-d9a2f99c3284,2025-04-02 09:43:27.997196+00:00,anthropic,claude-3-5-haiku-20241022,0,3625,225,Prioritize resilient technologies and moderate emissions reduction while avoiding economic stagnation and ineffective policies.
335f403b-0ec9-46a9-bb08-75d41d8fc481,2025-04-02 09:43:34.204232+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,106,"Prioritize adaptation, resilience, and moderate emissions reduction while avoiding economic stagnation."
a8b980a0-df2e-4a6e-99b4-770f1d54b02d,2025-04-02 10:26:13.065368+00:00,anthropic,claude-3-5-haiku-20241022,0,3412,104,Prioritize resilience and moderate emissions reduction while supporting community-level adaptation efforts.
