cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
a5cdaf58-dd67-4e39-ae63-3b00b7060f87,2025-03-20 11:47:57.028439+00:00,google,gemini-1.5-flash,0,3544,242,Prioritize adaptation and moderate emission cuts; reject inaction and prioritizing growth.
369660eb-7e76-42ed-a07d-fe7099d46cf6,2025-03-20 11:48:04.303735+00:00,google,gemini-1.5-flash,0,3548,249,"Prioritizes adaptation, moderate emission cuts, and technological solutions; rejects inaction and prioritizing growth."
91b19b0c-5cfb-41a8-afba-44e501bd09e7,2025-03-20 11:48:11.981620+00:00,google,gemini-1.5-flash,0,3542,246,"Prioritizes moderate emission cuts, adaptation, and community action; rejects inaction and prioritizing growth."
f2c0aad7-8aa1-4ece-b80f-65592aa52054,2025-03-20 11:48:16.628290+00:00,google,gemini-1.5-flash,0,3550,246,"Prioritizes adaptation, moderate emission cuts, rejects inaction and prioritizing growth."
b2c1bc49-9d2c-4f5e-81d3-0cb2a542a962,2025-03-20 11:48:21.434264+00:00,google,gemini-1.5-flash,0,3548,246,"Prioritizes adaptation, moderate emission cuts, and rejects inaction or prioritizing growth."
d625bad7-a8cf-4d5d-9a1c-e0bc92b4d7ef,2025-03-20 11:48:28.768961+00:00,google,gemini-1.5-flash,0,3544,243,Prioritizes adaptation and moderate emission cuts; rejects inaction and prioritizing growth.
1cd0e3d9-be90-43a2-a768-57c2091ba884,2025-03-20 11:48:33.406617+00:00,google,gemini-1.5-flash,0,3548,246,"Prioritizes adaptation, moderate emission cuts, and rejects inaction or prioritizing growth."
ffac4c89-be9e-4dd7-bde4-e4b5db08401b,2025-03-21 11:46:01.274800+00:00,google,gemini-1.5-flash,0,3546,247,"Prioritizes moderate emission cuts, adaptation, and resilience; rejects inaction and prioritizing growth."
a2f149f7-5332-41b4-ac6f-156641fa560b,2025-03-21 11:46:05.253605+00:00,google,gemini-1.5-flash,0,3546,247,"Prioritizes moderate emission cuts, adaptation, and resilience; rejects inaction and prioritizing growth."
377b6f8f-f64a-4bab-96b4-ffe8ec6a8bdb,2025-03-21 11:46:09.140379+00:00,google,gemini-1.5-flash,0,3546,244,Prioritizes adaptation and moderate emission cuts; rejects inaction and prioritizing growth.
2bbe677e-4c8b-479b-a7e9-9f7a8a0223c4,2025-03-21 11:46:12.886099+00:00,google,gemini-1.5-flash,0,3548,249,"Prioritizes adaptation, moderate emission cuts, and community action; rejects inaction and prioritizing growth."
94cf3cc9-2453-4cfb-90f3-f4dd3c7693ee,2025-03-21 11:46:16.684597+00:00,google,gemini-1.5-flash,0,3544,244,"Prioritizes adaptation, moderate emission cuts, and rejects inaction or prioritizing growth."
