cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
721c5fee-1fd8-4cbd-8c33-688b2323b859,2025-03-20 10:59:45.625755+00:00,google,gemini-2.0-flash,0,3613,235,Adaptation and resilience are key; radical emissions cuts seem less realistic/impactful.
c8c0ef63-1267-49ee-afd2-5d7b61537029,2025-03-20 10:59:49.702698+00:00,google,gemini-2.0-flash,0,3613,233,Adaptation is key; radical emissions cuts are less feasible than moderate ones.
66f56b8d-fd11-40de-a7d5-2c7ed4c1fbd7,2025-03-20 10:59:54.157208+00:00,google,gemini-2.0-flash,0,3613,233,"Radical emission cuts are needed, but adaptation and resilience are also important."
af36eb78-7825-4256-a85e-9a8ce9d70f4f,2025-03-20 10:59:58.304626+00:00,google,gemini-2.0-flash,0,3613,237,Adaptation & radical CO2 reduction are key; economic growth at all costs is least desirable.
53176714-d0b2-4ba7-a93d-a016c02004db,2025-03-20 11:00:02.700510+00:00,google,gemini-2.0-flash,0,3613,235,Adaptation and moderate emission cuts are preferred; economic growth over climate is least preferred.
fe679fe9-a5c1-4e2f-ab6a-c3680daf321e,2025-03-20 11:00:07.225697+00:00,google,gemini-2.0-flash,0,3613,235,Adaptation & resilience are key; moderate emissions reduction is preferable to radical or none.
e2dc2b39-8008-48e9-b2f2-a60c82540da1,2025-03-20 11:00:11.943635+00:00,google,gemini-2.0-flash,0,3613,233,Aggressive emission cuts and adaptation are key; economic growth alone is insufficient.
805e926b-f974-4d19-9a09-db0695064ff8,2025-03-20 11:00:16.022055+00:00,google,gemini-2.0-flash,0,3613,236,"Moderate emission reduction is best, then resilience, then adaptation, radical is too extreme."
a0bf67a4-8620-4508-9c7d-f037fa1e5066,2025-03-20 11:00:20.424897+00:00,google,gemini-2.0-flash,0,3613,237,Adaptation is key; radical emissions cuts unrealistic; economic growth shouldn't trump climate action.
2bd73d52-7e21-4234-ace1-1646d8c6855a,2025-03-20 11:00:25.141631+00:00,google,gemini-2.0-flash,0,3613,234,Adaptation and radical emission cuts are key; economic growth focus is least desirable.
be5e4a01-cbe9-47fe-9433-ac01074b6f0f,2025-03-25 13:53:46.779680+00:00,google,gemini-2.0-flash,0,3613,235,Adaptation and resilience are key; radical emissions cuts seem less realistic/impactful.
d47026bd-fbe0-45f2-8334-ca254a097751,2025-03-25 13:53:49.937662+00:00,google,gemini-2.0-flash,0,3613,233,Adaptation is key; radical emissions cuts are less practical than moderate ones.
ac3e89fe-4b4f-4a88-8c45-b0fd96992b2e,2025-03-25 13:53:53.372543+00:00,google,gemini-2.0-flash,0,3613,233,"Radical emission cuts are needed, but adaptation and resilience are also important."
25be67e3-d92c-45ec-ac03-ba8851a7831e,2025-03-25 13:53:56.377060+00:00,google,gemini-2.0-flash,0,3613,234,Adaptation & radical CO2 reduction are key; economic growth alone is insufficient.
3bfe906c-9245-4e6c-8680-6e1e0e054279,2025-03-25 13:53:59.750809+00:00,google,gemini-2.0-flash,0,3613,236,Adaptation and moderate emission cuts are key; economic growth shouldn't trump climate action.
