cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
331cc891-108c-4911-bad9-a3a3a9e631c9,2025-03-24 22:43:33.051151+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,229,"Prioritize practical adaptation, strong emissions cuts, community actions, with economic growth as lowest priority."
8ff28ec3-64a8-4030-afe2-f4ecac9b5ace,2025-03-24 22:43:41.719505+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,226,Prioritize proactive adaptation and significant emissions reduction while avoiding economic stagnation.
62039498-2310-4869-95f3-1972a57cf7da,2025-03-24 22:43:49.068821+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,231,"Prioritize aggressive emissions cuts, support community adaptation, and develop resilient technologies while avoiding stagnation."
65708a62-8f41-4886-8a34-c79001395cb9,2025-03-24 22:43:56.994830+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,230,"Prioritize dramatic emissions cuts, resilience tech, and community adaptation while avoiding economic stagnation."
d9160966-53d8-45a2-9fc9-2d8b77f76105,2025-03-24 22:44:04.060817+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,231,"Prioritize dramatic emissions cuts, resilience, and community-level adaptation while avoiding economic-only approaches."
062048c3-a106-4864-bbd1-4094f36c5c80,2025-03-24 22:44:11.421222+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,230,"Prioritize aggressive emissions cuts, support community adaptation, and reject growth-first approaches to climate policy."
deb33e63-1c08-4edd-abb0-19d10e827c2b,2025-03-24 22:44:23.653381+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,230,"Strong emissions cuts needed urgently, with balanced adaptation and community-level actions prioritized over economic growth."
a6fbe54e-eae7-4355-9851-6499c1ea8df8,2025-03-24 22:44:31.873115+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,228,"Prioritize aggressive emissions cuts, support adaptation, reject status quo and growth-only policies."
c13f1073-d564-4160-a58a-1e640dfeec31,2025-03-24 22:44:41.217651+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,233,"Prioritize dramatic emissions cuts, resilience tech, and community adaptation while rejecting inaction and pure economic growth."
45bb1aad-9439-4111-83d4-9c22f5d2b161,2025-03-24 22:44:49.636431+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,228,"Prioritize aggressive emissions cuts, community resilience, and proactive adaptation over economic growth."
ef623f3a-3cf2-42e1-a301-55fc42899458,2025-04-02 09:27:55.002158+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,229,"Prioritize aggressive emissions cuts, support community adaptation, and develop resilient technologies for climate response."
783d2ae1-821c-4c3a-a647-393c6aad4235,2025-04-02 09:28:00.273205+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,231,"Prioritize urgent emissions cuts, resilience, and adaptation while rejecting economic growth at climate's expense."
44267d8a-c162-48fe-86ad-8b47f36a55eb,2025-04-02 09:28:07.465046+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,229,"Prioritize dramatic emissions cuts, moderate reductions, and adaptation while minimizing economic disruption."
b67ad61a-b243-4139-acda-ce2943ef3f21,2025-04-02 09:28:13.033813+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,232,"Prioritize practical adaptation, moderate emissions cuts, and community-level resilience while avoiding economic stagnation."
2d473f93-a4a0-44b7-ba9a-52f54658f824,2025-04-02 09:28:18.454650+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,227,"Prioritize aggressive emissions cuts, support adaptation, reject economic growth at climate's expense."
853e5256-444a-46d4-b3e4-a3c26e3c34da,2025-04-02 09:28:24.219242+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,230,"Prioritize dramatic emissions cuts, community actions, and resilience technologies while minimizing economic disruption."
3eb7870c-cfc9-44ec-b8f3-1a33cc60e3a4,2025-04-02 09:28:30.303640+00:00,anthropic,claude-3-5-haiku-20241022,0,3509,229,"Prioritize practical adaptation, moderate emissions cuts, community actions, while avoiding economic stagnation."
