cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
e341913e-9f4a-4406-8d54-8fc876b1d376,2025-03-20 10:29:18.732951+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize reef protection, climate action, and sustainable development over short-term economic gains."
a206d4dd-6089-4a76-84a6-df96d91ffd6a,2025-03-20 10:29:25.548565+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize climate action, reef protection, and sustainable development over short-term economic gains."
6f686ebd-5cac-4a01-93fa-714f2cfe8083,2025-03-20 10:29:32.670704+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
26345d17-2532-4efe-b0cc-58aff63e09e0,2025-03-20 10:29:39.754139+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
e0da3546-8ce6-41f4-9a21-a11a335e8f63,2025-03-20 10:29:46.745759+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, sustainable industries, and climate action over extractive industries."
bb1491ef-0b53-4e57-bb7e-fa63c48b5af7,2025-03-20 10:29:53.992482+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize reef protection, climate action, and sustainable development over short-term economic gains."
88866698-15f6-43dc-aa79-fe7cb0f8a7a1,2025-03-20 10:30:00.880549+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
dc77a735-c4a8-4eaf-802b-d465d12950e4,2025-03-20 10:30:07.632047+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize climate action, reef protection, and sustainable development over extractive industries."
aeaece93-75fb-4a7c-b102-bbe1d5244c4f,2025-03-20 10:30:14.677662+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
6bee3f71-e7d2-453f-8735-75376665075b,2025-03-25 13:34:11.835142+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize reef protection, climate action, and sustainable development over short-term economic gains."
87d6cc77-c3ff-43c7-9d2c-7afbcbcbc6d5,2025-03-25 13:34:17.458247+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize climate action, reef protection, and sustainable development over short-term economic gains."
ecedf9cf-a797-44bf-b0a2-9264355b33ed,2025-03-25 13:34:23.156699+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
992d10ed-4b5b-44e3-9d5d-a2432bfb84bf,2025-03-25 13:34:28.940728+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
db40c963-43bf-4ea5-a781-0cbe37810263,2025-03-25 13:34:34.580787+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
86d5b8b9-95d4-4071-b72b-63c4cc8cb455,2025-03-25 13:34:40.405727+00:00,google,gemini-1.5-pro,0,3870,255,"Prioritize reef protection, climate action, and sustainable development over short-term economic gains."
52e4f37c-c02f-4e7a-8ff4-94ee9f414e52,2025-03-25 13:34:46.243459+00:00,google,gemini-1.5-pro,0,3870,253,"Prioritize reef protection, climate action, and sustainable development over extractive industries."
