cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
d2025edc-5053-4c95-b13e-8cca5911fec3,2025-03-20 11:51:04.998086+00:00,google,gemini-1.5-flash,0,3508,227,"Prioritize adaptation, moderate emission cuts, and support local resilience initiatives."
41e2ab7d-bff6-4ec6-9c05-a624dfcf432b,2025-03-20 11:51:09.526081+00:00,google,gemini-1.5-flash,0,3508,234,"Prioritizes adaptation, moderate emission cuts, and community-based actions; rejects inaction and extreme cuts."
729b5e57-2d05-4221-8162-2ec499248ac3,2025-03-20 11:51:14.188702+00:00,google,gemini-1.5-flash,0,3508,229,"Prioritize local adaptation, then mitigation, rejecting inaction and prioritizing economic growth last."
17bdc54d-a5ca-4553-95d1-2407273a8291,2025-03-20 11:51:18.742904+00:00,google,gemini-1.5-flash,0,3508,235,"Prioritize adaptation, moderate emission cuts, and community action; reject inaction and prioritizing economic growth over climate action."
82bce46c-c747-496c-90b7-e6ba91836f43,2025-03-20 11:51:23.551930+00:00,google,gemini-1.5-flash,0,3508,237,"Prioritize adaptation, moderate emission cuts, and community-based actions; reject inaction and economic-growth-first policies."
a69514b5-b71d-4d77-a64f-9a4b0d099928,2025-03-20 11:51:28.259295+00:00,google,gemini-1.5-flash,0,3508,229,"Prioritize emission cuts, support adaptation, reject inaction and economic-first policies."
d16a1c19-ebce-4400-92ae-8fb4353e274f,2025-03-20 11:51:32.960423+00:00,google,gemini-1.5-flash,0,3508,227,"Prioritize adaptation, moderate emission cuts; reject inaction and prioritizing growth."
d67bec67-21ed-4409-b53a-c324fa576219,2025-03-20 11:51:37.479029+00:00,google,gemini-1.5-flash,0,3508,235,"Prioritizes adaptation, moderate emission cuts, and community-based actions; rejects inaction and prioritizing economic growth."
876dd545-451e-4bce-92f8-b27ead5b534b,2025-03-20 11:51:42.173360+00:00,google,gemini-1.5-flash,0,3508,230,"Prioritize local adaptation, emission cuts, and resilience; reject inaction and prioritizing growth."
2e246797-c8d0-46cf-bcaf-5571c4b372c5,2025-03-20 11:51:46.895780+00:00,google,gemini-1.5-flash,0,3508,232,"Prioritize adaptation, moderate emission cuts, support local action, and reject inaction or prioritizing growth."
6d4fc69b-6513-4738-8f1b-f6e39116b8af,2025-03-21 11:59:12.866504+00:00,google,gemini-1.5-flash,0,3508,236,"Prioritizes adaptation, moderate emission cuts, community action, and rejects inaction or economic-growth-first policies."
b011db32-3490-474a-88d0-bb19a661c58a,2025-03-21 11:59:16.737851+00:00,google,gemini-1.5-flash,0,3508,230,"Prioritize local adaptation, reject inaction, moderate emission cuts, avoid prioritizing economic growth."
02de07ee-9a62-49c3-85ce-c9a54eaaf3f0,2025-03-21 11:59:20.530567+00:00,google,gemini-1.5-flash,0,3508,227,"Prioritize adaptation, moderate emission cuts, reject inaction and prioritizing growth."
