cuid,created_at,provider,model,temperature,input_tokens,output_tokens,reason
91f124ed-98c5-41c1-8428-dcd925d889a0,2025-03-24 14:08:45.950728+00:00,deepseek,deepseek-reasoner,0,4517,2350,"Prioritize ecological restoration, science, community, and sustainability; oppose harmful logging and suppression."
b7a74a11-f3fd-40f9-b9cc-7b962cb5519d,2025-03-24 14:10:59.260318+00:00,deepseek,deepseek-reasoner,0,4517,4485,"Prioritized ecological balance, community protection, adaptive management, and controlled burns; opposed no management and presettlement restoration."
2554ec79-e134-40fe-a3c1-ee3c3ba8a8de,2025-03-24 14:14:50.392200+00:00,deepseek,deepseek-reasoner,0,4517,2348,"Prioritized sustainability, science, community; opposed no management and economic-driven thinning."
2edc26df-30d7-49aa-8b8a-4e79a90e8f90,2025-03-24 14:17:01.070356+00:00,deepseek,deepseek-reasoner,0,4517,2091,"Prioritized ecological balance, sustainability, science, and community; opposed harmful logging and inaction."
ff5088e7-f807-4cbe-857a-243ba6e9d296,2025-03-24 14:18:58.400834+00:00,deepseek,deepseek-reasoner,0,4517,3258,"Stewardship, ecological balance, adaptive management, community needs over aggressive logging or inaction."
2aca63d3-3460-4fa4-b56a-32aea943e993,2025-03-24 14:21:54.224736+00:00,deepseek,deepseek-reasoner,0,4517,3585,"Prioritize ecological balance, community needs, cautious management; oppose aggressive logging and inaction."
f9b59de9-b0ed-4807-b8db-50c51c17b411,2025-03-24 14:25:03.860797+00:00,deepseek,deepseek-reasoner,0,4517,2377,"Supported ecological balance, community involvement, sustainability, controlled burns; opposed economic exploitation and neglect."
aa249b07-d0ba-41ea-b32a-8555e05e4269,2025-03-24 14:27:17.188856+00:00,deepseek,deepseek-reasoner,0,4517,2588,"Prioritized ecological balance, sustainable practices, community involvement, science-based solutions, and restoring natural fire cycles."
bd3791cd-fadb-4f05-9119-f97aa1db64f7,2025-03-24 14:29:42.468219+00:00,deepseek,deepseek-reasoner,0,4517,2875,"Supports ecological balance, adaptive management, community involvement; opposes harmful logging and inaction."
beec2ad3-275a-4369-8a84-a943e5cc6bfa,2025-03-24 14:32:19.448829+00:00,deepseek,deepseek-reasoner,0,4517,2565,"Prioritizes ecological balance, science, community involvement, and controlled burns while opposing harmful practices."
0a231e19-abaf-4644-8319-3f5948f06e82,2025-03-25 23:19:50.763373+00:00,deepseek,deepseek-reasoner,0,4517,2236,"Supports balancing ecological restoration, community values, and cautious active management while opposing corporate exploitation and inaction."
e8900c94-386f-4f3b-8ce1-1b9954f18b4f,2025-03-25 23:21:22.004169+00:00,deepseek,deepseek-reasoner,0,4517,3564,"Prioritized ecological balance, adaptive restoration, and community involvement over economic-driven or aggressive interventions."
